Postcode,LDZ,Exit Zone
BD100QH,NE,NE1
BD100QJ,NE,NE1
BD100QL,NE,NE1
BD100QN,NE,NE1
BD100QQ,NE,NE1
BD100QS,NE,NE1
BD100QT,NE,NE1
BD100QU,NE,NE1
BD100QX,NE,NE1
BD100QY,NE,NE1
BD100QZ,NE,NE1
BD100RA,NE,NE1
BD100RB,NE,NE1
BD100RD,NE,NE1
BD100RH,NE,NE1
BD100RJ,NE,NE1
BD100RL,NE,NE1
BD100RN,NE,NE1
BD100RP,NE,NE1
BD100RQ,NE,NE1
BD100RR,NE,NE1
BD100RS,NE,NE1
BD100RT,NE,NE1
BD100RU,NE,NE1
BD100RW,NE,NE1
BD100RX,NE,NE1
BD100RY,NE,NE1
BD100SA,NE,NE1
BD100SB,NE,NE1
BD100SD,NE,NE1
BD100SE,NE,NE1
BD100SF,NE,NE1
BD100SG,NE,NE1
BD100SH,NE,NE1
BD100SJ,NE,NE1
BD100SN,NE,NE1
BD100SP,NE,NE1
BD100SQ,NE,NE1
BD100SR,NE,NE1
BD100SS,NE,NE1
BD100ST,NE,NE1
BD100SU,NE,NE1
BD100SW,NE,NE1
BD100SX,NE,NE1
BD100SY,NE,NE1
BD100TA,NE,NE1
BD100TD,NE,NE1
BD100TE,NE,NE1
BD100TG,NE,NE1
BD100TH,NE,NE1
BD100TJ,NE,NE1
BD100TL,NE,NE1
BD100TN,NE,NE1
BD100TR,NE,NE1
BD100TS,NE,NE1
BD100TT,NE,NE1
BD100UD,NE,NE1
BD100UF,NE,NE1
BD100UG,NE,NE1
BD100UH,NE,NE1
BD100UJ,NE,NE1
BD100UL,NE,NE1
BD100UN,NE,NE1
BD100UP,NE,NE1
BD100UQ,NE,NE1
BD100UR,NE,NE1
BD100UT,NE,NE1
BD100UW,NE,NE1
BD108AB,NE,NE1
BD108AD,NE,NE1
BD108AE,NE,NE1
BD108AG,NE,NE1
BD108AH,NE,NE1
BD108AJ,NE,NE1
BD108AL,NE,NE1
BD108AN,NE,NE1
BD108AP,NE,NE1
BD108AQ,NE,NE1
BD108AR,NE,NE1
BD108AS,NE,NE1
BD108AT,NE,NE1
BD108AU,NE,NE1
BD108AW,NE,NE1
BD108AX,NE,NE1
BD108AY,NE,NE1
BD108AZ,NE,NE1
BD108BA,NE,NE1
BD108BB,NE,NE1
BD108BD,NE,NE1
BD108BE,NE,NE1
BD108BG,NE,NE1
BD108BH,NE,NE1
BD108BJ,NE,NE1
BD108BL,NE,NE1
BD108BN,NE,NE1
BD108BQ,NE,NE1
BD108BS,NE,NE1
BD108BT,NE,NE1
BD108BU,NE,NE1
BD108BW,NE,NE1
BD108BX,NE,NE1
BD108BY,NE,NE1
BD108DA,NE,NE1
BD108DB,NE,NE1
BD108DD,NE,NE1
BD108DH,NE,NE1
BD108DJ,NE,NE1
BD108DL,NE,NE1
BD108DN,NE,NE1
BD108DP,NE,NE1
BD108DX,NE,NE1
BD108EE,NE,NE1
BD108EG,NE,NE1
BD108ES,NE,NE1
BD108ET,NE,NE1
BD108EU,NE,NE1
BD108EW,NE,NE1
BD108EX,NE,NE1
BD108EY,NE,NE1
BD108EZ,NE,NE1
BD108HE,NE,NE1
BD108HW,NE,NE1
BD108HY,NE,NE1
BD108HZ,NE,NE1
BD108JD,NE,NE1
BD108JE,NE,NE1
BD108JH,NE,NE1
BD108JJ,NE,NE1
BD108JL,NE,NE1
BD108JP,NE,NE1
BD108JQ,NE,NE1
BD108JR,NE,NE1
BD108JS,NE,NE1
BD108JT,NE,NE1
BD108JU,NE,NE1
BD108JW,NE,NE1
BD108JX,NE,NE1
BD108JY,NE,NE1
BD108JZ,NE,NE1
BD108LA,NE,NE1
BD108LB,NE,NE1
BD108LD,NE,NE1
BD108LE,NE,NE1
BD108LF,NE,NE1
BD108LG,NE,NE1
BD108LH,NE,NE1
BD108LJ,NE,NE1
BD108LL,NE,NE1
BD108LN,NE,NE1
BD108LP,NE,NE1
BD108LQ,NE,NE1
BD108LR,NE,NE1
BD108LS,NE,NE1
BD108LT,NE,NE1
BD108LU,NE,NE1
BD108LX,NE,NE1
BD108LY,NE,NE1
BD108LZ,NE,NE1
BD108NA,NE,NE1
BD108NB,NE,NE1
BD108ND,NE,NE1
BD108NE,NE,NE1
BD108NH,NE,NE1
BD108NJ,NE,NE1
BD108NN,NE,NE1
BD108NP,NE,NE1
BD108NR,NE,NE1
